"Make","Model","Vehicle Class","Engine Size(L)","Cylinders","Transmission","Fuel Type","Fuel Consumption City (L/100 km)","Fuel Consumption Hwy (L/100 km)","Fuel Consumption Comb (L/100 km)","Fuel Consumption Comb (mpg)","CO2 Emissions(g/km)","Date"
"AUDI","A5 QUATTRO","SUBCOMPACT","2","4","M6","Z","10.8","7.5","9.3","30","214","11/21/2011"
"AUDI","A6 QUATTRO","MID-SIZE","2","4","AS8","Z","12","8.1","10.2","28","235","2/1/2017"
"AUDI","A6 QUATTRO","MID-SIZE","3","6","AS8","Z","12.8","8.6","10.9","26","251","12/20/2017"
"AUDI","A6 QUATTRO TDI (modified)","MID-SIZE","3","6","AS8","D","9.8","6.2","8.1","35","217","4/6/2017"
"AUDI","A7 QUATTRO","MID-SIZE","3","6","AS8","Z","13.3","8.5","11.2","25","262","7/28/2018"
"AUDI","A7 QUATTRO TDI (modified)","MID-SIZE","3","6","AS8","D","9.8","6.2","8.1","35","217","5/23/2018"
"AUDI","A8","MID-SIZE","3","6","AS8","Z","13.1","8.8","11.2","25","258","10/12/2012"
"AUDI","A8","MID-SIZE","4","8","AS8","Z","13.7","8.3","11.3","25","265","2/11/2019"
"AUDI","A8 TDI (modified)","MID-SIZE","3","6","AS8","D","9.8","6.5","8.4","34","224","2/25/2012"
"AUDI","A8L","FULL-SIZE","3","6","AS8","Z","13.1","8.8","11.2","25","258","11/20/2019"
"AUDI","A8L","FULL-SIZE","4","8","AS8","Z","14.7","9.7","12.5","23","288","4/30/2018"
"AUDI","A8L","FULL-SIZE","6.3","12","AS8","Z","18.7","11.5","15.5","18","363","10/25/2016"
"AUDI","A8L TDI (modified)","FULL-SIZE","3","6","AS8","D","9.8","6.5","8.4","34","224","8/25/2019"
"AUDI","ALLROAD QUATTRO","STATION WAGON - SMALL","2","4","AS8","Z","11.8","8.8","10.5","27","242","7/1/2021"
"AUDI","Q5","SUV - SMALL","2","4","AS8","Z","12","8.5","10.4","27","239","8/24/2015"
"AUDI","Q5","SUV - SMALL","3","6","AS8","Z","12.9","9.2","11.2","25","258","4/21/2021"
"AUDI","Q5 TDI (modified)","SUV - SMALL","3","6","AS8","D","10.2","7.8","9","31","244","9/5/2016"
"AUDI","Q5 HYBRID","SUV - SMALL","2","4","AS8","Z","9.9","8.3","9.2","31","212","11/26/2013"
"AUDI","Q7","SUV - STANDARD","3","6","AS8","Z","15.1","10.9","13.2","21","304","1/5/2014"
"AUDI","Q7 TDI (modified)","SUV - STANDARD","3","6","AS8","D","12.4","8.7","10.7","26","290","10/1/2015"
"AUDI","R8","TWO-SEATER","4.2","8","A7","Z","17.6","11","14.6","19","336","5/21/2016"
"AUDI","R8","TWO-SEATER","4.2","8","M6","Z","21.2","13.4","17.7","16","407","9/9/2016"
"AUDI","R8","TWO-SEATER","5.2","10","A7","Z","18.2","10.6","14.8","19","347","6/12/2013"
"AUDI","R8","TWO-SEATER","5.2","10","M6","Z","21.1","13.8","17.8","16","409","10/19/2016"
"AUDI","R8 SPYDER","TWO-SEATER","4.2","8","A7","Z","17.6","11","14.6","19","336","12/2/2018"
"AUDI","R8 SPYDER","TWO-SEATER","4.2","8","M6","Z","21.2","13.4","17.7","16","407","10/28/2016"
"AUDI","R8 SPYDER","TWO-SEATER","5.2","10","A7","Z","18.2","10.6","14.8","19","347","1/28/2015"
"AUDI","R8 SPYDER","TWO-SEATER","5.2","10","M6","Z","21.1","13.8","17.8","16","409","10/26/2019"
"AUDI","RS 5","SUBCOMPACT","4.2","8","A7","Z","15.3","10.9","13.3","21","306","9/21/2019"
"AUDI","RS 5 CABRIOLET","SUBCOMPACT","4.2","8","A7","Z","15.2","11.3","13.4","21","308","5/10/2019"
"AUDI","RS 7","MID-SIZE","4","8","AS8","Z","15.5","8.8","12.5","23","293","6/11/2018"
"AUDI","S4","COMPACT","3","6","A7","Z","13.2","9.2","11.4","25","262","10/12/2011"
"AUDI","S4","COMPACT","3","6","M6","Z","14.6","9.8","12.4","23","285","5/19/2017"
"AUDI","S5","SUBCOMPACT","3","6","A7","Z","13.2","9.2","11.4","25","262","6/14/2011"
"AUDI","S5","SUBCOMPACT","3","6","M6","Z","14.6","9.8","12.4","23","285","6/5/2014"
"AUDI","S5 CABRIOLET","SUBCOMPACT","3","6","A7","Z","13.3","9.5","11.6","24","267","7/1/2016"
"AUDI","S6","MID-SIZE","4","8","A7","Z","14.2","9.7","12.2","23","281","10/25/2013"
"AUDI","S7","MID-SIZE","4","8","A7","Z","14.2","9.7","12.2","23","281","3/2/2015"
"AUDI","S8","MID-SIZE","4","8","AS8","Z","15.8","9.2","12.8","22","300","10/8/2018"
"AUDI","SQ5","SUV - SMALL","3","6","AS8","Z","14.9","10.1","12.7","22","292","12/5/2013"
"AUDI","TT COUPE QUATTRO","SUBCOMPACT","2","4","A6","Z","10.4","7.6","9.1","31","209","6/4/2015"
"AUDI","TT ROADSTER QUATTRO","TWO-SEATER","2","4","A6","Z","10.4","7.6","9.1","31","209","9/30/2013"
"AUDI","TTS COUPE QUATTRO","SUBCOMPACT","2","4","A6","Z","11.5","8.8","10.3","27","237","10/20/2012"
"AUDI","TTS ROADSTER QUATTRO","TWO-SEATER","2","4","A6","Z","11.5","8.8","10.3","27","237","7/4/2013"
"BENTLEY","CONTINENTAL GT","SUBCOMPACT","4","8","AS8","Z","16.3","9.8","13.4","21","314","6/20/2016"
"BENTLEY","CONTINENTAL GT","SUBCOMPACT","6","12","AS8","Z","18.8","11.5","15.5","18","356","4/28/2013"
"BENTLEY","CONTINENTAL GTC","SUBCOMPACT","4","8","AS8","Z","17.4","10.2","14.2","20","332","6/10/2013"
"BENTLEY","CONTINENTAL GTC","SUBCOMPACT","6","12","AS8","Z","20","12.2","16.5","17","380","5/5/2011"
"BENTLEY","CONTINENTAL GT SPEED CONVERTIBLE","SUBCOMPACT","6","12","AS8","Z","20","12.2","16.5","17","380","9/22/2017"
"BENTLEY","FLYING SPUR","MID-SIZE","6","12","AS8","Z","20.3","11.9","16.5","17","388","1/3/2016"
"BENTLEY","MULSANNE","MID-SIZE","6.8","8","AS8","Z","22.3","14.9","19","15","437","1/10/2013"
"BMW","320i","COMPACT","2","4","A8","Z","10","6.5","8.4","34","193","4/7/2012"
"BMW","320i","COMPACT","2","4","M6","Z","10.4","6.7","8.7","32","200","4/24/2014"
"BMW","320i xDRIVE","COMPACT","2","4","A8","Z","10.2","7","8.8","32","202","6/10/2018"
"BMW","328d xDRIVE","COMPACT","2","4","A8","D","7.6","5.5","6.7","42","181","3/16/2018"
"BMW","328d xDRIVE TOURING","STATION WAGON - SMALL","2","4","A8","D","7.6","5.5","6.7","42","181","2/17/2016"
"BMW","328i","COMPACT","2","4","A8","Z","10","6.5","8.4","34","193","2/23/2018"
"BMW","328i","COMPACT","2","4","M6","Z","10.4","6.7","8.7","32","200","10/29/2018"
"BMW","328i xDRIVE","COMPACT","2","4","A8","Z","10.6","7.2","9.1","31","209","11/23/2014"
"BMW","328i xDRIVE GRAN TURISMO","FULL-SIZE","2","4","A8","Z","10.6","7.2","9.1","31","209","1/18/2014"
"BMW","328i xDRIVE TOURING","STATION WAGON - SMALL","2","4","A8","Z","10.6","7.2","9.1","31","209","11/4/2011"
"BMW","335i","COMPACT","3","6","A8","Z","11.4","7.3","9.6","29","221","8/29/2012"
"BMW","335i","COMPACT","3","6","M6","Z","11.8","7.9","10","28","230","11/5/2020"
"BMW","335i xDRIVE","COMPACT","3","6","A8","Z","11.7","7.8","9.9","29","228","9/17/2014"
"BMW","335i xDRIVE","COMPACT","3","6","M6","Z","11.9","8.3","10.3","27","237","11/26/2018"
"BMW","335i xDRIVE GRAN TURISMO","FULL-SIZE","3","6","A8","Z","11.9","8","10.1","28","232","12/9/2016"
"BMW","428i COUPE","COMPACT","2","4","A8","Z","10","6.5","8.4","34","193","8/5/2020"
"BMW","428i COUPE","COMPACT","2","4","M6","Z","10.4","6.7","8.7","32","200","6/8/2011"
"BMW","428i xDRIVE COUPE","COMPACT","2","4","A8","Z","10.6","7.2","9.1","31","209","1/25/2016"
"BMW","435i COUPE","COMPACT","3","6","A8","Z","11.4","7.3","9.6","29","221","12/3/2016"
"BMW","435i COUPE","COMPACT","3","6","M6","Z","11.8","7.9","10","28","230","4/19/2011"
"BMW","435i xDRIVE COUPE","COMPACT","3","6","A8","Z","11.7","7.8","9.9","29","228","4/6/2017"
"BMW","435i xDRIVE COUPE","COMPACT","3","6","M6","Z","11.9","8.3","10.3","27","237","11/2/2016"
"BMW","528i","MID-SIZE","2","4","A8","Z","10.2","7","8.8","32","202","9/18/2020"
"BMW","528i xDRIVE","MID-SIZE","2","4","A8","Z","10.6","7.2","9.1","31","209","11/21/2016"
"BMW","535d xDRIVE","MID-SIZE","3","6","A8","D","9.2","6.4","7.9","36","213","9/22/2012"
"BMW","535i xDRIVE","MID-SIZE","3","6","A8","Z","11.9","8","10.1","28","232","3/10/2014"
"BMW","535i xDRIVE GRAN TURISMO","FULL-SIZE","3","6","A8","Z","12.5","8.6","10.7","26","246","1/18/2012"
"BMW","550i xDRIVE","MID-SIZE","4.4","8","A8","Z","14.4","9.6","12.2","23","281","5/4/2018"
"BMW","550i xDRIVE GRAN TURISMO","FULL-SIZE","4.4","8","A8","Z","15","9.8","12.7","22","292","11/2/2016"
"BMW","640i xDRIVE GRAN COUPE","COMPACT","3","6","A8","Z","11.9","8","10.1","28","232","6/7/2020"
"BMW","650i xDRIVE CABRIOLET","SUBCOMPACT","4.4","8","A8","Z","15","9.8","12.7","22","292","11/26/2011"
"BMW","650i xDRIVE COUPE","COMPACT","4.4","8","A8","Z","14.4","9.6","12.2","23","281","5/3/2014"
"BMW","650i xDRIVE GRAN COUPE","COMPACT","4.4","8","A8","Z","15","9.8","12.7","22","292","6/19/2012"
"BMW","740Li xDRIVE","FULL-SIZE","3","6","A8","Z","12.5","8.6","10.7","26","246","3/15/2012"
"BMW","750i xDRIVE","FULL-SIZE","4.4","8","A8","Z","15","9.8","12.7","22","292","8/21/2017"
"BMW","750Li xDRIVE","FULL-SIZE","4.4","8","A8","Z","15","9.8","12.7","22","292","2/11/2018"
"BMW","760Li","FULL-SIZE","6","12","A8","Z","18.7","11.5","15.5","18","356","1/1/2015"
"BMW","ACTIVEHYBRID 3","COMPACT","3","6","A8","Z","9.2","7.1","8.3","34","191","8/30/2014"
"BMW","ACTIVEHYBRID 5","MID-SIZE","3","6","A8","Z","10.5","7.9","9.3","30","214","5/17/2019"
"BMW","ACTIVEHYBRID 7L","FULL-SIZE","3","6","A8","Z","10.5","7.6","9.2","31","212","5/20/2020"
"BMW","ALPINA B7 xDRIVE LWB","FULL-SIZE","4.4","8","A8","Z","15","9.8","12.7","22","292","2/26/2018"
"BMW","ALPINA B7 xDRIVE SWB","FULL-SIZE","4.4","8","A8","Z","15","9.8","12.7","22","292","1/15/2017"
"BMW","M5","MID-SIZE","4.4","8","AM7","Z","17.3","11.5","14.7","19","338","8/30/2012"
"BMW","M5","MID-SIZE","4.4","8","M6","Z","16.2","10.9","13.8","20","317","2/7/2020"
"BMW","M6","COMPACT","4.4","8","AM7","Z","17.3","11.5","14.7","19","338","8/31/2016"
"BMW","M6","COMPACT","4.4","8","M6","Z","16.2","10.9","13.8","20","317","3/4/2014"
"BMW","M6 CABRIOLET","SUBCOMPACT","4.4","8","AM7","Z","17.3","11.5","14.7","19","338","2/16/2012"
"BMW","M6 CABRIOLET","SUBCOMPACT","4.4","8","M6","Z","16.2","10.9","13.8","20","317","11/13/2020"
"BMW","M6 GRAN COUPE","COMPACT","4.4","8","AM7","Z","17.3","11.5","14.7","19","338","4/2/2013"
"BMW","M6 GRAN COUPE","COMPACT","4.4","8","M6","Z","16.2","10.9","13.8","20","317","12/5/2016"
"BMW","X1 xDRIVE28i","SUV - SMALL","2","4","A8","Z","10.6","7.2","9.1","31","209","6/9/2013"
"BMW","X1 xDRIVE35i","SUV - SMALL","3","6","A6","Z","13.2","8.9","11.3","25","260","2/16/2013"
"BMW","X3 xDRIVE28i","SUV - SMALL","2","4","A8","Z","11.2","8.5","10","28","230","6/23/2016"
"BMW","X3 xDRIVE35i","SUV - SMALL","3","6","A8","Z","12.6","9.1","11","26","253","3/6/2014"
"BMW","X5 xDRIVE35i","SUV - STANDARD","3","6","A8","Z","12.9","8.8","11.1","25","255","8/10/2014"
"BMW","X5 xDRIVE50i","SUV - STANDARD","4.4","8","A8","Z","16.3","10.9","13.9","20","320","8/13/2013"
"BMW","X6 M","SUV - STANDARD","4.4","8","A6","Z","18.1","13.7","16.1","18","370","7/28/2018"
"BMW","X6 xDRIVE35i","SUV - STANDARD","3","6","A8","Z","13.6","9.8","11.9","24","274","7/20/2017"
"BMW","X6 xDRIVE50i","SUV - STANDARD","4.4","8","A8","Z","16.4","11.3","14.1","20","324","4/9/2020"
"BMW","Z4 sDRIVE28i","TWO-SEATER","2","4","A8","Z","10.8","7.1","9.1","31","209","12/1/2013"
"BMW","Z4 sDRIVE28i","TWO-SEATER","2","4","M6","Z","10.4","6.7","8.7","32","200","9/11/2019"
"BMW","Z4 sDRIVE35i","TWO-SEATER","3","6","AM7","Z","13.7","10.1","12.1","23","278","10/9/2018"
"BMW","Z4 sDRIVE35i","TWO-SEATER","3","6","M6","Z","12.7","9","11","26","253","2/11/2012"
"BMW","Z4 sDRIVE35is","TWO-SEATER","3","6","AM7","Z","13.7","10.1","12.1","23","278","10/24/2018"
"BUICK","ENCLAVE","SUV - STANDARD","3.6","6","A6","X","14.3","9.9","12.3","23","283","6/23/2020"
"BUICK","ENCLAVE AWD","SUV - STANDARD","3.6","6","A6","X","14.6","10.2","12.6","22","290","10/9/2016"
"BUICK","ENCORE","SUV - SMALL","1.4","4","AS6","X","9.5","7.2","8.5","33","196","1/9/2016"
"BUICK","ENCORE AWD","SUV - SMALL","1.4","4","AS6","X","10.2","8","9.2","31","212","12/26/2016"
"BUICK","LACROSSE","MID-SIZE","3.6","6","AS6","X","13.7","8.7","11.5","25","264","5/24/2011"
"BUICK","LACROSSE","MID-SIZE","3.6","6","AS6","E","18.4","12.2","15.6","18","250","9/27/2015"
"BUICK","LACROSSE AWD","MID-SIZE","3.6","6","AS6","X","13.7","8.9","11.5","25","264","7/15/2017"
"BUICK","LACROSSE AWD","MID-SIZE","3.6","6","AS6","E","19.4","13","16.5","17","264","8/2/2015"
"BUICK","LACROSSE eASSIST","MID-SIZE","2.4","4","AS6","X","9.6","6.5","8.2","34","189","10/27/2017"
"BUICK","REGAL","MID-SIZE","2","4","AS6","Z","11.5","7.9","9.9","29","228","2/17/2018"
"BUICK","REGAL","MID-SIZE","2","4","M6","Z","11.6","7.5","9.8","29","225","9/21/2014"
"BUICK","REGAL AWD","MID-SIZE","2","4","AS6","Z","12.3","8.7","10.7","26","246","6/2/2014"
"BUICK","REGAL eASSIST","MID-SIZE","2.4","4","AS6","X","9.6","6.5","8.2","34","189","11/15/2020"
"BUICK","VERANO","COMPACT","2","4","AS6","Z","11.5","7.9","9.9","29","228","7/30/2015"
"BUICK","VERANO","COMPACT","2","4","M6","Z","11.6","7.5","9.8","29","225","9/13/2020"
"BUICK","VERANO","COMPACT","2.4","4","AS6","X","11.3","7.4","9.5","30","218","3/15/2016"
"CADILLAC","ATS","COMPACT","2","4","AS6","Z","11.3","7.5","9.6","29","221","5/30/2017"
"CADILLAC","ATS","COMPACT","2","4","M6","Z","12.1","7.9","10.2","28","235","9/12/2018"
"CADILLAC","ATS","COMPACT","2.5","4","AS6","X","10.5","7.2","9","31","207","9/14/2013"
"CADILLAC","ATS","COMPACT","3.6","6","AS6","X","12.8","8.5","10.9","26","251","6/8/2013"
"CADILLAC","ATS AWD","COMPACT","2","4","AS6","Z","11.8","8.1","10.1","28","232","1/29/2012"
"CADILLAC","ATS AWD","COMPACT","3.6","6","AS6","X","13.1","9","11.3","25","260","4/2/2020"
"CADILLAC","CTS COUPE","MID-SIZE","3.6","6","AS6","X","13.2","8.7","11.2","25","258","9/4/2018"
"CADILLAC","CTS COUPE AWD","MID-SIZE","3.6","6","AS6","X","13.3","9","11.4","25","262","5/5/2014"
"CADILLAC","CTS SEDAN","MID-SIZE","2","4","AS6","Z","11.9","7.9","10.1","28","232","8/22/2015"
"CADILLAC","CTS SEDAN","MID-SIZE","3.6","6","AS8","X","12.9","8.2","10.8","26","248","9/22/2015"
"CADILLAC","CTS SEDAN AWD","MID-SIZE","2","4","AS6","Z","12.6","8.5","10.8","26","248","7/4/2021"
"CADILLAC","CTS SEDAN AWD","MID-SIZE","3.6","6","AS6","X","13.1","9","11.3","25","260","3/4/2016"
"CADILLAC","CTS SEDAN Vsport","MID-SIZE","3.6","6","AS8","Z","15.1","9.9","12.8","22","294","11/17/2011"
"CADILLAC","CTS SPORT WAGON","STATION WAGON - SMALL","3","6","AS6","X","12.7","8.9","11","26","253","8/19/2011"
"CADILLAC","CTS SPORT WAGON","STATION WAGON - SMALL","3.6","6","AS6","X","13.3","8.9","11.3","25","260","12/15/2012"
"CADILLAC","CTS SPORT WAGON AWD","STATION WAGON - SMALL","3","6","AS6","X","12.8","9.1","11.1","25","255","5/24/2012"
"CADILLAC","CTS SPORT WAGON AWD","STATION WAGON - SMALL","3.6","6","AS6","X","13.3","9","11.4","25","262","3/3/2021"
"CADILLAC","CTS-V COUPE","MID-SIZE","6.2","8","AS6","Z","19.7","12.9","16.6","17","382","11/18/2017"
"CADILLAC","CTS-V COUPE","MID-SIZE","6.2","8","M6","Z","16.7","12.5","14.8","19","340","4/15/2020"
"CADILLAC","CTS-V SEDAN","MID-SIZE","6.2","8","AS6","Z","19.7","12.9","16.6","17","382","11/2/2016"
"CADILLAC","CTS-V SEDAN","MID-SIZE","6.2","8","M6","Z","16.7","12.5","14.8","19","340","8/12/2016"
"CADILLAC","CTS-V SPORT WAGON","STATION WAGON - SMALL","6.2","8","AS6","Z","19.7","12.9","16.6","17","382","3/7/2016"
"CADILLAC","CTS-V SPORT WAGON","STATION WAGON - SMALL","6.2","8","M6","Z","16.7","12.5","14.8","19","340","9/22/2016"
"CADILLAC","ESCALADE AWD","SUV - STANDARD","6.2","8","A6","Z","17","11.8","14.7","19","338","10/11/2019"
"CADILLAC","ESCALADE AWD","SUV - STANDARD","6.2","8","A6","E","23.3","16.1","20.1","14","322","3/9/2015"
"CADILLAC","ESCALADE ESV AWD","SUV - STANDARD","6.2","8","A6","Z","18.8","13.4","16.4","17","377","10/21/2020"
"CADILLAC","ESCALADE ESV AWD","SUV - STANDARD","6.2","8","A6","E","25.7","17.8","22.1","13","354","3/8/2020"
"CADILLAC","SRX","SUV - STANDARD","3.6","6","AS6","X","14.3","9.8","12.3","23","283","3/13/2014"
"CADILLAC","SRX AWD","SUV - STANDARD","3.6","6","AS6","X","14.8","10.4","12.8","22","294","10/29/2014"
"CADILLAC","XTS","FULL-SIZE","3.6","6","AS6","X","13.6","8.6","11.4","25","262","11/20/2015"
"CADILLAC","XTS AWD","FULL-SIZE","3.6","6","AS6","X","14","9.1","11.8","24","271","3/2/2021"
"CADILLAC","XTS Vsport AWD","FULL-SIZE","3.6","6","AS6","Z","14.8","9.8","12.6","22","290","4/30/2016"
"CHEVROLET","CAMARO","COMPACT","3.6","6","AS6","X","13.2","8.7","11.2","25","258","3/13/2012"
"CHEVROLET","CAMARO","COMPACT","3.6","6","M6","X","14.2","8.6","11.7","24","269","3/30/2018"
"CHEVROLET","CAMARO 2LS","COMPACT","3.6","6","AS6","X","12.7","7.9","10.5","27","242","7/23/2012"
"CHEVROLET","CAMARO SS","COMPACT","6.2","8","AS6","Z","15.3","9.8","12.8","22","294","4/7/2020"
"CHEVROLET","CAMARO SS","COMPACT","6.2","8","M6","Z","15","9.9","12.7","22","292","5/25/2011"
"CHEVROLET","CAMARO ZL1","COMPACT","6.2","8","AS6","Z","19.7","12.9","16.6","17","382","8/4/2011"
"CHEVROLET","CAMARO ZL1","COMPACT","6.2","8","M6","Z","16.7","12.5","14.8","19","340","3/9/2018"
"CHEVROLET","CORVETTE","TWO-SEATER","6.2","8","AS6","Z","14.9","8.5","12","24","276","9/3/2013"
"CHEVROLET","CORVETTE","TWO-SEATER","6.2","8","M7","Z","13.7","8.2","11.2","25","258","6/25/2013"
"CHEVROLET","CRUZE","MID-SIZE","1.4","4","AS6","X","9.1","6.3","7.8","36","179","4/13/2017"
"CHEVROLET","CRUZE","MID-SIZE","1.4","4","M6","X","9.1","6.3","7.8","36","179","9/9/2013"
"CHEVROLET","CRUZE","MID-SIZE","1.8","4","AS6","X","10.5","6.7","8.8","32","202","3/22/2013"
"CHEVROLET","CRUZE","MID-SIZE","1.8","4","M6","X","9.5","6.5","8.2","34","189","3/17/2014"
"CHEVROLET","CRUZE DIESEL","MID-SIZE","2","4","AS6","D","8.7","5.1","7.1","40","192","12/11/2011"
"CHEVROLET","CRUZE ECO","MID-SIZE","1.4","4","A6","X","9.1","6","7.7","37","177","2/12/2013"
"CHEVROLET","CRUZE ECO","MID-SIZE","1.4","4","M6","X","8.4","5.6","7.1","40","163","2/2/2017"
"CHEVROLET","EQUINOX","SUV - SMALL","2.4","4","A6","X","10.5","7.3","9.1","31","209","12/27/2013"
"CHEVROLET","EQUINOX","SUV - SMALL","3.6","6","A6","X","13.9","9.6","12","24","276","9/12/2013"
"CHEVROLET","EQUINOX","SUV - SMALL","3.6","6","A6","E","18.8","13.1","16.2","17","259","1/5/2011"
"CHEVROLET","EQUINOX AWD","SUV - SMALL","2.4","4","A6","X","11.5","8.2","10","28","230","10/4/2012"
"CHEVROLET","EQUINOX AWD","SUV - SMALL","3.6","6","A6","X","14.8","9.9","12.6","22","290","12/8/2015"
"CHEVROLET","EQUINOX AWD","SUV - SMALL","3.6","6","A6","E","19.8","13.6","17","17","272","1/11/2019"
"CHEVROLET","EXPRESS 1500 CARGO","VAN - CARGO","4.3","6","A4","X","17.1","12.7","15.1","19","347","9/16/2014"
"CHEVROLET","EXPRESS 1500 CARGO","VAN - CARGO","5.3","8","A4","X","18","13.4","15.9","18","366","8/13/2017"
"CHEVROLET","EXPRESS 1500 CARGO","VAN - CARGO","5.3","8","A4","E","23.5","17.7","20.9","14","334","9/25/2014"
"CHEVROLET","EXPRESS 1500 CARGO AWD","VAN - CARGO","5.3","8","A4","X","18.3","14.2","16.5","17","380","9/10/2018"
"CHEVROLET","EXPRESS 1500 CARGO AWD","VAN - CARGO","5.3","8","A4","E","23.7","18.8","21.5","13","344","6/27/2019"
"CHEVROLET","EXPRESS 1500 CARGO CONV","VAN - CARGO","5.3","8","A4","X","18.6","13.9","16.5","17","380","4/13/2013"
"CHEVROLET","EXPRESS 1500 CARGO CONV","VAN - CARGO","5.3","8","A4","E","23.9","18.5","21.5","13","344","2/26/2017"
"CHEVROLET","EXPRESS 1500 CARGO CONV AWD","VAN - CARGO","5.3","8","A4","X","18.3","14.2","16.5","17","380","2/4/2013"
"CHEVROLET","EXPRESS 1500 CARGO CONV AWD","VAN - CARGO","5.3","8","A4","E","25.3","19.3","22.6","12","362","10/12/2014"
"CHEVROLET","EXPRESS 1500 PASSENGER","VAN - PASSENGER","5.3","8","A4","X","18.6","13.9","16.5","17","380","8/16/2014"
"CHEVROLET","EXPRESS 1500 PASSENGER","VAN - PASSENGER","5.3","8","A4","E","23.9","18.5","21.5","13","344","4/28/2013"
"CHEVROLET","EXPRESS 1500 PASSENGER AWD","VAN - PASSENGER","5.3","8","A4","X","18.3","14.2","16.5","17","380","8/3/2013"
"CHEVROLET","EXPRESS 1500 PASSENGER AWD","VAN - PASSENGER","5.3","8","A4","E","25.3","19.3","22.6","12","362","7/19/2011"
"CHEVROLET","EXPRESS 2500 PASSENGER","VAN - PASSENGER","4.8","8","A6","X","21.1","14.2","18","16","414","12/14/2014"
"CHEVROLET","EXPRESS 2500 PASSENGER","VAN - PASSENGER","6","8","A6","X","21.9","15","18.8","15","432","8/23/2018"
"CHEVROLET","EXPRESS 2500 PASSENGER","VAN - PASSENGER","6","8","A6","E","30","20.4","25.7","11","411","6/9/2014"
"CHEVROLET","EXPRESS 3500 PASSENGER","VAN - PASSENGER","4.8","8","A6","X","21.3","14.3","18.2","16","419","1/2/2014"
"CHEVROLET","EXPRESS 3500 PASSENGER","VAN - PASSENGER","6","8","A6","X","22.1","15","18.9","15","435","9/4/2021"
"CHEVROLET","EXPRESS 3500 PASSENGER","VAN - PASSENGER","6","8","A6","E","30.2","20.5","25.8","11","413","8/7/2012"
"CHEVROLET","IMPALA","FULL-SIZE","2.5","4","AS6","X","11.3","7.5","9.6","29","221","2/27/2015"
